Date,Time,Face_ID,Emotion,Confidence(%),FPS,Music,Session_ID,App_Mode
2026-01-31,11:00:42,Face-1,fear,82.54,15,None,104fc633,Desktop-Windows
2026-01-31,11:01:12,Face-1,fear,81.04,33,None,104fc633,Desktop-Windows
2026-01-31,11:01:42,Face-1,fear,47.28,30,None,104fc633,Desktop-Windows
2026-01-31,11:01:50,Face-1,fear,60.8,16,None,104fc633,Desktop-Windows
2026-01-31,11:02:22,Face-1,fear,37.56,15,None,104fc633,Desktop-Windows
2026-05-23,11:04:27,Face-1,fear,48.71,10,None,fd675a45,Desktop-Windows
2026-05-23,11:04:27,Face-1,fear,52.37,11,None,fd675a45,Desktop-Windows
2026-05-23,11:04:29,Face-1,surprise,51.66,21,None,fd675a45,Desktop-Windows
2026-05-23,11:04:42,Face-1,fear,58.09,16,None,fd675a45,Desktop-Windows
2026-05-23,11:04:45,Face-1,surprise,64.36,13,None,fd675a45,Desktop-Windows
2026-05-23,11:04:46,Face-1,surprise,73.19,15,None,fd675a45,Desktop-Windows
2026-05-23,11:04:46,Face-1,surprise,83.28,15,None,fd675a45,Desktop-Windows
2026-05-23,11:04:47,Face-1,surprise,71.07,16,None,fd675a45,Desktop-Windows
2026-05-23,11:04:48,Face-1,fear,48.33,15,None,fd675a45,Desktop-Windows
2026-05-23,11:04:48,Face-1,surprise,61.53,16,None,fd675a45,Desktop-Windows
2026-05-23,11:05:00,Face-1,fear,63.99,15,None,fd675a45,Desktop-Windows
2026-05-23,11:05:06,Face-1,surprise,26.75,15,None,fd675a45,Desktop-Windows
2026-05-23,11:05:13,Face-1,fear,59.9,19,None,fd675a45,Desktop-Windows
2026-05-23,11:05:14,Face-1,fear,54.97,15,None,fd675a45,Desktop-Windows
2026-05-23,11:05:15,Face-1,fear,65.48,16,None,fd675a45,Desktop-Windows
2026-05-23,11:05:17,Face-1,fear,74.09,15,None,fd675a45,Desktop-Windows
2026-05-23,11:05:17,Face-1,fear,81.11,16,None,fd675a45,Desktop-Windows
2026-05-23,11:05:29,Face-1,fear,35.11,15,None,fd675a45,Desktop-Windows
2026-05-23,11:05:30,Face-1,fear,43.83,15,None,fd675a45,Desktop-Windows
2026-05-23,11:05:31,Face-1,fear,72.16,15,None,fd675a45,Desktop-Windows
2026-05-23,11:05:32,Face-1,fear,54.76,16,None,fd675a45,Desktop-Windows
2026-05-23,11:05:32,Face-1,fear,57.63,16,None,fd675a45,Desktop-Windows
2026-05-23,11:05:33,Face-1,fear,34.15,12,None,fd675a45,Desktop-Windows
